PROGRAMA;nombre;cedula;EDAD_DE_INGRESO;Actualmente_trabaja;Tipo_de_población_a_la_que_pertenece;SEXO;ESTADO_CIVIL;¿Cómo_financia_sus_estudios?;CIRCUNSCRIPCION;¿Dispone_de_un_computador_permanentemente?;¿Posee_conexión_permanente_a_internet?;ESTRATO
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Jessica Zorrilla;741570978;28;No;Urbana;M;Madre soltera;Recursos Propios;PUEBLO INDIGENA;No;Sí;5
TECNOLOGÍA EN CRIMINALISTICA;Dimas de Arranz;10585335;34;Sí;Rural;F;Casado;Crédito;COMUNIDAD NEGRA;No;Sí;5
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Augusto Muñoz Zaragoza;553021802;22;Sí;Urbana;F;Casado;Recursos Propios;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;No;2
ADMINISTRACIÓN FINANCIERA;Marcial Luque Gilabert;331405704;54;Sí;Rural;F;Religioso;Beca;DESPLAZADO;No;Sí;2
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Blanca Cerdá Agullo;559778898;16;No;Urbana;M;Madre soltera;Crédito;REGULAR PREGRADO;No;No;5
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Brunilda Daniela Artigas Manrique;533144806;23;Sí;Rural;M;Casado;Beca;DESPLAZADO;Sí;No;4
ADMINISTRACIÓN FINANCIERA;Edelmiro Jiménez-Ayllón;73134576;45;Sí;Rural;F;Unión Libre;Familia;REGULAR PREGRADO;Sí;Sí;3
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Reyes Bolaños Higueras;681488279;45;Sí;Urbana;F;Unión Libre;Recursos Propios;REGULAR PREGRADO;No;Sí;1
LICENCIATURA EN EDUCACIÓN INFANTIL;Arsenio Folch Pallarès;357690115;29;No;Urbana;F;Soltero;Beca;REGULAR PREGRADO;Sí;No;5
ADMINISTRACIÓN FINANCIERA;Jose Carlos Olivera Jurado;213069416;35;Sí;Rural;M;Soltero;Beca;DESPLAZADO;Sí;No;1
