PROGRAMA;nombre;cedula;EDAD_DE_INGRESO;Actualmente_trabaja;Tipo_de_población_a_la_que_pertenece;SEXO;ESTADO_CIVIL;¿Cómo_financia_sus_estudios?;CIRCUNSCRIPCION;¿Dispone_de_un_computador_permanentemente?;¿Posee_conexión_permanente_a_internet?;ESTRATO
LICENCIATURA EN PEDAGOGÍA INFANTIL;Jessica Zorrilla;528956072;52;No;Rural;M;Madre soltera;Crédito;PUEBLO INDIGENA;No;Sí;2
ADMINISTRACIÓN FINANCIERA;Dimas de Arranz;609641861;53;Sí;Rural;F;Unión Libre;Recursos Propios;DESPLAZADO;Sí;No;1
LICENCIATURA EN EDUCACIÓN INFANTIL;Augusto Muñoz Zaragoza;50678025;32;No;Rural;M;Unión Libre;Recursos Propios;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;Sí;5
ADMINISTRACIÓN FINANCIERA;Marcial Luque Gilabert;925642479;34;No;Urbana;F;Soltero;Beca;REGULAR PREGRADO;Sí;No;3
LICENCIATURA EN PEDAGOGÍA INFANTIL;Blanca Cerdá Agullo;786912678;25;Sí;Urbana;F;Soltero;Beca;COMUNIDAD NEGRA;Sí;Sí;2
LICENCIATURA EN PEDAGOGÍA INFANTIL;Brunilda Daniela Artigas Manrique;643364391;37;No;Urbana;F;Madre soltera;Beca;PUEBLO INDIGENA;Sí;Sí;4
TECNOLOGÍA EN CRIMINALISTICA;Edelmiro Jiménez-Ayllón;879744696;20;Sí;Urbana;F;Soltero;Recursos Propios;COMUNIDAD NEGRA;Sí;Sí;3
MERCADEO;Reyes Bolaños Higueras;984655020;41;No;Rural;F;Madre soltera;Familia;COMUNIDAD NEGRA;No;No;1
TECNOLOGÍA EN CRIMINALISTICA;Arsenio Folch Pallarès;685739154;41;No;Urbana;M;Unión Libre;Crédito;DESPLAZADO;Sí;No;5
TECNOLOGÍA EN CRIMINALISTICA;Jose Carlos Olivera Jurado;441725821;28;No;Urbana;M;Unión Libre;Crédito;REGULAR PREGRADO;Sí;No;5
LICENCIATURA EN EDUCACIÓN INFANTIL;Eusebio Piña Chacón;742827552;44;No;Rural;F;Madre soltera;Crédito;DESPLAZADO;Sí;No;5
LICENCIATURA EN PEDAGOGÍA INFANTIL;Íngrid del Palomo;842797338;25;No;Rural;F;Religioso;Familia;DESPLAZADO;No;No;5
LICENCIATURA EN EDUCACIÓN INFANTIL;Albano Lázaro Casas Viña;921242732;47;No;Rural;F;Religioso;Beca;COMUNIDAD NEGRA;Sí;No;3
TECNOLOGÍA EN CRIMINALISTICA;María Fernanda Estela Galiano Zamora;531456460;29;No;Rural;M;Divorciado;Beca;PUEBLO INDIGENA;Sí;Sí;5
MERCADEO;Amor Vázquez Silva;809138168;21;No;Urbana;M;Unión Libre;Crédito;PUEBLO INDIGENA;Sí;No;1
ADMINISTRACIÓN FINANCIERA;Isidoro Colomer Requena;275085182;25;Sí;Rural;M;Unión Libre;Familia;DESPLAZADO;No;No;2
TECNOLOGÍA EN CRIMINALISTICA;Adelardo Quiroga Carreño;454476710;27;No;Rural;M;Divorciado;Crédito;REGULAR PREGRADO;No;No;3
MERCADEO;Rosa María Castro Gelabert;824341339;21;Sí;Urbana;M;Soltero;Familia;DESPLAZADO;No;Sí;2
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Tamara Ángela Macías Vilanova;524220070;27;Sí;Rural;F;Unión Libre;Familia;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;No;3
TECNOLOGÍA EN CRIMINALISTICA;Pablo Barroso Mesa;413530690;35;No;Rural;M;Divorciado;Beca;PUEBLO INDIGENA;Sí;No;5
TECNOLOGÍA EN CRIMINALISTICA;Alfredo Torres Uribe;294018008;23;Sí;Rural;F;Soltero;Crédito;REGULAR PREGRADO;No;Sí;2
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;José Mari Noriega;255706099;19;No;Urbana;M;Religioso;Beca;PUEBLO INDIGENA;Sí;No;5
LICENCIATURA EN EDUCACIÓN INFANTIL;Javiera Valls Benavides;486753965;44;Sí;Urbana;F;Madre soltera;Crédito;DESPLAZADO;No;No;2
MERCADEO;María Jesús de Anglada;600160693;23;No;Rural;F;Madre soltera;Recursos Propios;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;Sí;5
TECNOLOGÍA EN CRIMINALISTICA;Tomasa Lillo Ortiz;1591755;22;Sí;Urbana;M;Unión Libre;Crédito;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;4
TECNOLOGÍA EN CRIMINALISTICA;Lupe Carro Tenorio;492676887;27;No;Rural;F;Madre soltera;Recursos Propios;DESPLAZADO;No;No;5
MERCADEO;Oriana Peiró Calatayud;771457868;48;No;Rural;F;Unión Libre;Familia;COMUNIDAD NEGRA;Sí;No;2
LICENCIATURA EN PEDAGOGÍA INFANTIL;Plinio Cobos Velasco;279642442;50;Sí;Urbana;M;Divorciado;Familia;DESPLAZADO;Sí;No;1
MERCADEO;Bibiana Ana Belén Anguita Carbó;241442568;45;No;Rural;F;Casado;Familia;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;3
MERCADEO;Cristian Belmonte Higueras;196121540;25;No;Rural;F;Religioso;Beca;PUEBLO INDIGENA;Sí;No;2
LICENCIATURA EN PEDAGOGÍA INFANTIL;Felicidad Royo Carballo;178329039;27;No;Rural;M;Unión Libre;Familia;REGULAR PREGRADO;No;No;5
ADMINISTRACIÓN FINANCIERA;Narcisa Amores-Navarrete;596666787;18;Sí;Rural;F;Madre soltera;Crédito;COMUNIDAD NEGRA;No;Sí;1
MERCADEO;Vinicio Cobo Amorós;75780774;43;Sí;Urbana;F;Divorciado;Recursos Propios;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;1
MERCADEO;Lourdes Pilar Collado Losa;49883451;39;No;Urbana;F;Casado;Familia;PUEBLO INDIGENA;Sí;Sí;4
LICENCIATURA EN EDUCACIÓN INFANTIL;Belén Nazaret Cazorla Martín;570814136;35;Sí;Rural;M;Unión Libre;Familia;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;Sí;2
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Edelmiro Alegria Palomino;927758967;27;Sí;Rural;F;Divorciado;Beca;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;Sí;4
ADMINISTRACIÓN FINANCIERA;Samanta Maldonado Arroyo;711208100;53;No;Urbana;M;Soltero;Familia;PUEBLO INDIGENA;Sí;No;4
MERCADEO;Paloma Solís;832960749;18;Sí;Urbana;F;Divorciado;Crédito;COMUNIDAD NEGRA;No;Sí;5
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Ámbar Puga Castro;140198993;49;Sí;Rural;F;Unión Libre;Familia;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;Sí;1
MERCADEO;Cirino Huertas Bernat;816410444;17;No;Urbana;M;Religioso;Beca;REGULAR PREGRADO;No;Sí;4
ADMINISTRACIÓN FINANCIERA;Juan Francisco Molina Tenorio;470359883;45;Sí;Urbana;F;Madre soltera;Familia;DESPLAZADO;Sí;No;1
LICENCIATURA EN EDUCACIÓN INFANTIL;Rosalinda Clemente Aroca;441988827;25;No;Rural;F;Madre soltera;Crédito;PUEBLO INDIGENA;Sí;Sí;3
