PROGRAMA;nombre;cedula;EDAD_DE_INGRESO;Actualmente_trabaja;Tipo_de_población_a_la_que_pertenece;SEXO;ESTADO_CIVIL;¿Cómo_financia_sus_estudios?;CIRCUNSCRIPCION;¿Dispone_de_un_computador_permanentemente?;¿Posee_conexión_permanente_a_internet?;ESTRATO
LICENCIATURA EN EDUCACIÓN INFANTIL;Jessica Zorrilla;509073556;26;No;Rural;F;Madre soltera;Familia;REGULAR PREGRADO;Sí;No;5
LICENCIATURA EN EDUCACIÓN INFANTIL;Dimas de Arranz;793443368;46;No;Rural;M;Casado;Crédito;DESPLAZADO;Sí;Sí;2
MERCADEO;Augusto Muñoz Zaragoza;795134339;37;No;Urbana;F;Religioso;Recursos Propios;DESPLAZADO;No;Sí;2
LICENCIATURA EN PEDAGOGÍA INFANTIL;Marcial Luque Gilabert;931006264;24;No;Urbana;M;Divorciado;Recursos Propios;DESPLAZADO;No;No;1
LICENCIATURA EN PEDAGOGÍA INFANTIL;Blanca Cerdá Agullo;620739881;48;No;Urbana;F;Casado;Beca;REGULAR PREGRADO;No;Sí;2
ADMINISTRACIÓN FINANCIERA;Brunilda Daniela Artigas Manrique;775798572;50;No;Rural;F;Madre soltera;Beca;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;1
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Edelmiro Jiménez-Ayllón;505148191;28;Sí;Rural;M;Unión Libre;Familia;PUEBLO INDIGENA;Sí;Sí;4
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Reyes Bolaños Higueras;212160823;24;Sí;Rural;M;Religioso;Familia;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;3
MERCADEO;Arsenio Folch Pallarès;156203582;21;No;Rural;M;Casado;Familia;PUEBLO INDIGENA;Sí;No;2
ADMINISTRACIÓN FINANCIERA;Jose Carlos Olivera Jurado;915228743;19;Sí;Rural;F;Casado;Familia;REGULAR PREGRADO;Sí;Sí;2
TECNOLOGÍA EN CRIMINALISTICA;Eusebio Piña Chacón;43523866;21;No;Rural;M;Soltero;Familia;VICTIMA DEL CONFLICTO ARMADO INTERNO;No;Sí;3
TECNOLOGÍA EN DESARROLLO DE SOFTWARE;Íngrid del Palomo;710562192;38;No;Rural;F;Casado;Crédito;PUEBLO INDIGENA;Sí;Sí;5
LICENCIATURA EN EDUCACIÓN INFANTIL;Albano Lázaro Casas Viña;928753951;27;No;Rural;F;Unión Libre;Beca;COMUNIDAD NEGRA;No;No;2
ADMINISTRACIÓN FINANCIERA;María Fernanda Estela Galiano Zamora;759793536;30;No;Rural;F;Unión Libre;Crédito;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;Sí;3
MERCADEO;Amor Vázquez Silva;994758341;22;Sí;Urbana;F;Madre soltera;Beca;COMUNIDAD NEGRA;No;No;3
LICENCIATURA EN PEDAGOGÍA INFANTIL;Isidoro Colomer Requena;412298736;23;No;Rural;F;Unión Libre;Familia;VICTIMA DEL CONFLICTO ARMADO INTERNO;Sí;No;3
TECNOLOGÍA EN CRIMINALISTICA;Adelardo Quiroga Carreño;573997414;54;Sí;Urbana;M;Divorciado;Crédito;COMUNIDAD NEGRA;Sí;No;2
