index;Periodo;Tipo_de_población_a_la_que_pertenece;Año_de_graduación_como_bachiller;Desde_que_ingresó_a_su_carrera_universitaria_¿Cuánto_tiempo_estuvo_sin_realizar_estudios(años)?;¿Tipo_de_institución_donde_terminó_el_bachillerato?;Selecciona_la_modalidad_del_bachillerato_que_estudió;Estudios_que_ha_adelantado;Actualmente_trabaja;Seguridad_social:;¿Cómo_financia_sus_estudios?;¿Es_padre_o_madre_cabeza_de_familia?;Número_de_hijos:;¿Con_quién_vive?;Grado_de_escolaridad_de_la_madre;Grado_de_escolaridad_de_la_padre;Tipo_de_transporte_que_utiliza_para_desplazarse_hasta_la_universidad:;Seleccione_un_rango_de_costo_en_pasajes_hasta_la_universidad:;¿Cuál_es_la_razón_que_lo_motivó_a_escoger_el_programa_en_la_modalidad_a_distancia?;Programa_académico_al_cual_pertenece:;Ubicación_semestral;Señale_cuál(es)_dificultad(es)_académica(s)_ha_presentado_en_el_transcurso_de;¿Posee_algún_tipo_de_discapacidad?;Practica_algún_deporte;¿Cuál(es)_es(son)_su(s)_pasatiempo(s)_favorito(s)?;¿Hace_parte_de_algún_grupo_artístico,_cultural,_deportivo_o_juvenil?;¿Le_gusta_trabajar_en_equipo?;¿De_qué_tiempo_dispone_para_trabajar_individualmente?;De_qué_tiempo_dispone_para_trabajar_en_equipo?;Posee_dificultades_para_relacionarse_con_otras_personas_(compañeros,_docentes)_(única_respuesta);En_cuanto_a_sus_profesores,_se_siente:_(única_respuesta);En_cuanto_a_la_elección_de_su_carrera_se_siente:;¿Cuál_es_su_proyecto_de_vida?;¿Está_habituado(a)_a_tomar_notas_y_apuntes_en_su_proceso_de_estudio?;Seleccione_el_nivel_de_conocimiento_en_informática;¿Dispone_de_un_computador_permanentemente?;¿Posee_conexión_permanente_a_internet?;Seleccione_los_dispositivos_electrónicos_con_los_que_cuenta_actualmente;¿Cuáles_son_las_principales_actividades_que_realiza_en_internet?_;PERIODOINGRESO;SITE_DESCRIPCION;ESTADO_CIVIL;ESTRATO;SEXO;LIBRETA_MILITAR;CLASE_LIBRETA;NACIONALIDAD;DEPARTAMENTOID_INSTITUCION;MUNICIPIOID_INSTITUCION;INSTITUCIONEDUCATIVA;NOMBRE_INSTITUCIONEDUCATIVA;PAIS_NACIMIENTO;DEPARTAMENTO_NACIMIENTO;CIUDAD_NACIMIENTO;PAIS_PROCEDENCIA;DEPARTAMENTO_PROCEDENCIA;MUNICIPIO_PROCEDENCIA;ZONARESIDENCIAL;CIRCUNSCRIPCION;ORIENTACION_SEXUAL;IDENTIDAD_DE_GENERO;CAPACIDADEXCEPCIONAL;DISCAPACIDAD;DISCAPACIDAD_DESCRI;DISCAPACIDAD_ID_PADRE;EDAD_DE_INGRESO;PROGRAMA;nombre;cedula;MATERIA;NOTA;CREDITOS;CREDITOS_PROGRAMA;APROBADO;TIPO;PERIODO2;PROMEDIO;MATRICULAS;SEMILLERO;SOLI_ID;SOLI_ESTADO;SUBSIDIO_ALIMENTARIO;NOMBRE_EPS;INGRESOS_ULTIMO_ANO;CIRCUNSCRIPCION2;PUNTAJE_SISBEN;ES_EGRESADO;FECHAGRADUACION;ES_REINGRESO;IDENTIFICADOR;CantidadMateriasPerdidas;CantidadDeSemestres;PorcentajeDeCreditos
240;1/02/2021;Urbana;2008;9;Pública;Informal (Sabatino);Técnico;Sí;Contributivo;Recursos Propios;Si;3-abr;Esposo(a) e hijos;Tecnólogo;Técnico;Moto;$ 50.000 en adelante;Buen futuro laboral;Tecnología en Criminalística;I;comprensión de lectura;Ninguna;Fútbol;los videojuegos;No;Casi siempre;Solo fines de semana;Solo fines de semana;No;Satisfecho;Muy satisfecho;Ser profesional;Pocas veces tomo notas;Básico;Sí;Sí;"Computador de escritorio;Celular inteligente;Tablet;Teléfono celular - solo llamadas";"Correo electrónico;Redes sociales;Música y vídeos";1/02/2021;EXCLUIDO NO RENOVACION DE MATRICULA;Casado;2;M;NO;;CO;Caquetá;FLORENCIA;11150;UNIVERSIDAD DE LA AMAZONIA;Colombia;Caquetá;FLORENCIA;Colombia;Caquetá;FLORENCIA;URBANA;REGULAR PREGRADO;HETEROSEXUAL;MASCULINO;NO APLICA;0;NO APLICA;;390;TECNOLOGÍA EN CRIMINALISTICA;Eilis Scotchbrook;255014008;EDUCACION A DISTANCIA;1;2;970;NO;NORMAL;1/02/2021;1,42;falta;;;;NO;falta no se guarda;$300.000,oo;REGULAR PREGRADO;;NO;;NO;12;70;1;0
59;1/02/2017;Urbana;1999;6;Pública;Presencial;Ninguno;Sí;Contributivo;Recursos Propios;Si;1-feb;Sólo;Secundaria;Primaria;Bus;$ 10.000 - $ 15.000;Es el campo de formación de mi interés;Administración Financiera;I;ninguna;Ninguna;Fútbol;Leer;Sí;Casi siempre;1-2 horas diarias;1-2 horas diarias;No;Satisfecho;Satisfecho;Ser profesional;Siempre tomo notas;Básico;No;Sí;Celular inteligente;"Correo electrónico
Redes sociales";1/02/2017;GRADUADO;Divorciado;1;M;SI;SEGUNDA;CO;Caquetá;FLORENCIA;192160;INSTITUTO TECNICO INDUSTRIAL;Colombia;Caquetá;FLORENCIA;Colombia;Caquetá;FLORENCIA;URBANA;REGULAR PREGRADO;HETEROSEXUAL;MASCULINO;NO APLICA;0;NO APLICA;;340;ADMINISTRACIÓN FINANCIERA;Bil Snartt;496178134;CREACIÓN DEL VALOR;3,4;3;1490;SI;NORMAL;1/01/2022;3,68;falta;;;;NO;falta no se guarda;,oo;REGULAR PREGRADO;;SI;25/11/2022;NO;23;0;11;100
87;1/01/2020;Urbana;2003;17;Pública;Presencial;Ninguno;Sí;Contributivo;Recursos Propios;No;No tiene;Sólo;Ninguna;Primaria;Otro medio;$ 15.000 - $ 25.000;Otro;Administración Financiera;I;concentración;Ninguna;Fútbol;"Leer
Escuchar música";No;Algunas veces;1-2 horas diarias;1-2 horas diarias;No;Satisfecho;Satisfecho;Ser profesional;Pocas veces tomo notas;Medio;Sí;Sí;"Computador de escritorio
Celular inteligente";"Correo electrónico
Otros";1/01/2020;EXCLUIDO NO RENOVACION DE MATRICULA;Casado;2;M;NO;;CO;;;;;Colombia;Huila;NEIVA;;;;;REGULAR PREGRADO;;;;;;;350;ADMINISTRACIÓN FINANCIERA;Ashlee Shellard;369903764;EDUCACIÓN A DISTANCIA Y HERRAMIENTAS VIRTUALES;0,25;3;1690;NO;NORMAL;1/01/2020;0,04;falta;;;;NO;falta no se guarda;,oo;REGULAR PREGRADO;;NO;;NO;39;60;1;0
111;1/02/2018;Urbana;2000;6;Pública;Presencial;Tecnología;Sí;Contributivo;Recursos Propios;Si;1-feb;Esposo(a) e hijos;Secundaria;Primaria;Moto;$ 50.000 en adelante;Es el campo de formación de mi interés;Tecnología en Criminalística;I;ninguna;Física;Atletismo;Leer;No;Casi siempre;3-4 horas diarias;3-4 horas diarias;No;Algo satisfecho;Satisfecho;Ser profesional;Siempre tomo notas;Medio;Sí;Sí;Computador de escritorio;Correo electrónico;1/02/2018;EXCLUIDO NO RENOVACION DE MATRICULA;Casado;2;M;NO;;Colombia;;;;;Colombia;Nariño;PASTO;;;;;REGULAR PREGRADO;;;;;;;370;TECNOLOGÍA EN CRIMINALISTICA;Devora Durrett;311634069;DERECHO PENAL GENERAL;4,2;3;970;SI;NORMAL;1/01/2019;3,89;falta;Semillero de investigación en Finanzas SIFIN;;;NO;falta no se guarda;,oo;REGULAR PREGRADO;;NO;;NO;49;0;2;3,50515E+16
107;1/02/2018;Urbana;1999;5;Pública;Presencial;Tecnología;Sí;Subsidiado;Recursos Propios;No;1-feb;Esposo(a) e hijos;Especialización;Primaria;Carro;$ 25.000 - $ 50.000;Sentir vocación desde la infancia;Tecnología en Criminalística;I;ninguna;Ninguna;Ninguno;"Leer
Escuchar música";No;Siempre;1-2 horas diarias;Solo fines de semana;No;No sabe / No responde;Muy satisfecho;Ser profesional;A menudo tomo notas;Básico;Sí;Sí;"Portátil
Celular inteligente";"Correo electrónico
Redes sociales
Música y vídeos
Cursos virtuales
Otros";1/02/2018;EXCLUIDO NO RENOVACION DE MATRICULA;Unión Libre;1;M;SI;SEGUNDA;Colombia;Caquetá;FLORENCIA;11150;UNIVERSIDAD DE LA AMAZONIA;Colombia;Caquetá;VALPARAISO;Colombia;Caquetá;CARTAGENA DEL CHAIRA;URBANA;DESPLAZADO;NO APLICA;MASCULINO;NO APLICA;0;NO APLICA;;380;TECNOLOGÍA EN CRIMINALISTICA;Anneliese O'Lenechan;142255225;COMUNICACION;3,7;2;970;SI;NORMAL;1/02/2018;3,69;falta;;;;NO;falta no se guarda;,oo;DESPLAZADO;;NO;;SI;57;0;2;3,50515E+16
133;1/02/2018;Urbana;1991;21;Pública;Presencial;Ninguno;Sí;Contributivo;Recursos Propios;Si;5 o más;Esposo(a) e hijos;Secundaria;Primaria;Moto;$ 4.000 - $ 10.000;Es el campo de formación de mi interés;Licenciatura en Pedagogía Infantil;I;ninguna;Ninguna;Fútbol;Otro;Sí;Casi siempre;1-2 horas diarias;1-2 horas diarias;No;Satisfecho;Algo satisfecho;Ser profesional;Siempre tomo notas;Ninguno;No;No;Celular inteligente;"Correo electrónico
Redes sociales";1/02/2018;EXCLUIDO NO RENOVACION DE MATRICULA;Unión Libre;1;M;SI;PRIMERA;CO;Caquetá;MORELIA;353600;COLEGIO CERVANTES;Colombia;Caquetá;MORELIA;Colombia;Caquetá;FLORENCIA;URBANA;REGULAR PREGRADO;;;NO APLICA;0;NO APLICA;;470;LICENCIATURA EN PEDAGOGÍA INFANTIL;Bebe Bernuzzi;467554626;MODULO INTRODUCTORIO;0,3;15;1330;NO;NORMAL;1/02/2018;0,3;falta;;;;NO;falta no se guarda;,oo;REGULAR PREGRADO;;NO;;NO;80;10;1;0
144;1/02/2020;Rural;1986;21;Pública;Presencial;Técnico;Sí;Contributivo;Recursos Propios;Si;1-feb;Esposo(a) e hijos;Primaria;Ninguna;Taxi;$ 10.000 - $ 15.000;Es el campo de formación de mi interés;Profesional en Mercadeo;I;"comprensión de lectura
concentración";Ninguna;Otro;"Cocinar
Escuchar música";No;Casi siempre;1-2 horas diarias;1-2 horas diarias;No;Satisfecho;Satisfecho;Ser profesional;A menudo tomo notas;Básico;No;No;Celular inteligente;Redes sociales;1/02/2020;EXCLUIDO NO RENOVACION DE MATRICULA;Unión Libre;1;M;NO;;CO;Caquetá;SAN JOSE DEL FRAGUA;655650;COLEGIO LAS LAJAS;Colombia;Caquetá;FLORENCIA;Colombia;Antioquia;ANDES;RURAL;VICTIMA DEL CONFLICTO ARMADO INTERNO;NO APLICA;MASCULINO;NO APLICA;0;NO APLICA;;430;MERCADEO;Jeanie Kleiser;629427555;COMUNICACIÓN I;3,4;3;1480;SI;NORMAL;1/02/2020;3,45;falta;;;;NO;falta no se guarda;,oo;VICTIMA DEL CONFLICTO ARMADO INTERNO;;NO;;SI;98;70;2;1,08108E+15
23;1/02/2016;Urbana;1997;19;Pública;Presencial;Técnico;Sí;Contributivo;Recursos Propios;No;1-feb;Esposo(a) e hijos;Primaria;Primaria;Moto;$ 4.000 - $ 10.000;Es el campo de formación de mi interés;Tecnología en Criminalística;I;ninguna;Ninguna;Fútbol;"Leer
Escribir
Escuchar música";No;Casi siempre;3-4 horas diarias;1-2 horas diarias;No;Satisfecho;Muy satisfecho;Ser profesional;Siempre tomo notas;Básico;Sí;Sí;Computador de escritorio;Correo electrónico;1/02/2016;EXCLUIDO NO RENOVACION DE MATRICULA;Casado;2;M;SI;PRIMERA;CO;;;;;Colombia;Caquetá;FLORENCIA;;;;;REGULAR PREGRADO;;;;;;;370;TECNOLOGÍA EN CRIMINALISTICA;Wilek Tash;617466497;INTRODUCCION AL DERECHO;4,2;3;970;SI;NORMAL;1/02/2016;4,04;falta;;;;NO;falta no se guarda;,oo;REGULAR PREGRADO;;NO;;NO;107;0;2;3,50515E+16
92;1/01/2018;Urbana;2003;10;Pública;Presencial;Técnico;No;Subsidiado;Recursos Propios;Si;1-feb;Esposo(a) e hijos;Primaria;Secundaria;Moto;$ 4.000 - $ 10.000;Buen futuro laboral;Administración Financiera;I;ninguna;Ninguna;Otro;"Bailar
Cocinar
Escuchar música
Otro";No;Casi siempre;3-4 horas diarias;3-4 horas diarias;No;Muy satisfecho;Muy satisfecho;Ser profesional;A menudo tomo notas;Medio;Sí;Sí;"Portátil
Celular inteligente";"Correo electrónico
Redes sociales
Música y vídeos
Descargar programas y juegos
Cursos virtuales
Otros";1/01/2018;EXCLUIDO NO RENOVACION DE MATRICULA;Soltero;2;M;NO;;CO;;;;;Colombia;Caquetá;FLORENCIA;;;;;REGULAR PREGRADO;;;;;;;330;ADMINISTRACIÓN FINANCIERA;Alastair Perillio;429147869;MODULO INTRODUCTORIO;3,8;14;1490;SI;NORMAL;1/01/2018;3,8;falta;;;;NO;falta no se guarda;$0,oo;REGULAR PREGRADO;;NO;;NO;119;0;1;9,39597E+15
201;1/01/2021;Urbana;2003;5;Pública;Presencial;Tecnología;Sí;Contributivo;Recursos Propios;Si;1-feb;Esposo(a) e hijos;Ninguna;Ninguna;Moto;$ 4.000 - $ 10.000;Es el campo de formación de mi interés;Profesional en Mercadeo;I;ninguna;Ninguna;Ninguno;Bailar;No;Siempre;1-2 horas diarias;1-2 horas diarias;No;Muy satisfecho;Muy satisfecho;Ser profesional;A menudo tomo notas;Básico;Sí;Sí;"PortÃ¡til
Celular inteligente";"Correo electrónico
Redes sociales";1/01/2021;EXCLUIDO NO RENOVACION DE MATRICULA;Soltero;1;M;NO;;CO;;;;;Colombia;Caquetá;FLORENCIA;;;;;REGULAR PREGRADO;;;;;;;360;MERCADEO;Elvyn Ramshay;444067492;UNIVERSIDAD REGION Y MEDIO AMBIENTE;0;3;1480;NO;NORMAL;1/01/2021;0,09;falta;;;;NO;falta no se guarda;,oo;REGULAR PREGRADO;;NO;;NO;122;60;1;0
